 ,Intensity,X (px),Y (px),X (nm),Y (nm),Z (nm),Left-Width (px),Right-Width (px),Up-Height (px),Down-Height (px),X Symmetry (%),Y Symmetry (%),Width minus Height (px),Frame Number
1492,289,23.135,34.839,2313.455,3483.902,-57.255,0.811,1.338,1.429,1.131,0.754,0.884,-0.411,2658
1493,244,6.521,15.964,652.059,1596.379,-34.918,1.314,1.221,1.708,1.057,0.963,0.765,-0.230,2656
1494,267,40.142,23.933,4014.216,2393.275,-97.673,0.819,1.400,1.804,1.131,0.738,0.771,-0.716,2652
1495,503,20.945,36.559,2094.507,3655.923,76.290,1.490,0.888,1.072,0.994,0.747,0.962,0.312,2686
1496,433,16.610,44.669,1660.955,4466.940,190.757,1.436,1.409,0.942,0.816,0.991,0.929,1.086,2685
1497,933,27.047,30.878,2704.676,3087.798,18.548,0.728,1.428,1.290,0.777,0.675,0.752,0.089,2681
1498,1115,26.958,31.246,2695.830,3124.564,12.282,1.348,0.714,0.791,1.228,0.693,0.783,0.044,2680
1499,587,27.030,31.054,2702.955,3105.380,-43.003,0.675,1.231,0.786,1.411,0.708,0.716,-0.291,2679
1500,387,25.941,22.948,2594.077,2294.761,99.914,1.563,1.074,1.428,0.716,0.814,0.668,0.493,2677
1501,1117,25.834,22.985,2583.440,2298.467,78.431,1.429,0.792,1.278,0.617,0.713,0.651,0.325,2676
1502,209,14.410,54.525,1441.008,5452.454,-92.550,1.101,1.222,1.401,1.586,0.948,0.938,-0.663,2676
1503,1162,25.823,22.909,2582.267,2290.889,22.809,1.362,0.762,1.314,0.692,0.717,0.690,0.118,2675
1504,349,25.997,22.787,2599.746,2278.737,20.285,1.536,0.834,1.300,0.969,0.704,0.854,0.101,2674
1505,1852,16.218,44.288,1621.770,4428.804,-45.225,0.766,1.182,1.022,1.235,0.787,0.906,-0.308,2723
1506,446,52.906,27.136,5290.641,2713.613,-102.416,1.357,0.698,1.170,1.652,0.679,0.829,-0.766,2720
1507,1001,51.645,25.862,5164.516,2586.227,-20.723,1.206,0.870,1.384,0.857,0.839,0.765,-0.164,2751
1508,626,14.360,17.769,1435.955,1776.894,122.051,1.232,1.430,1.189,0.808,0.926,0.809,0.664,2712
1509,806,14.177,17.820,1417.707,1781.990,115.634,0.964,1.523,1.135,0.730,0.775,0.783,0.623,2711
1510,459,51.636,25.724,5163.578,2572.420,47.018,1.361,1.040,1.311,0.885,0.866,0.806,0.205,2753
1511,421,14.125,17.875,1412.493,1787.546,33.681,0.997,1.514,1.448,0.892,0.794,0.762,0.172,2710
1512,422,56.553,28.998,5655.330,2899.837,92.220,1.181,1.113,1.281,0.589,0.971,0.630,0.425,2708
1513,593,19.455,36.599,1945.547,3659.921,79.544,1.104,1.152,1.070,0.854,0.979,0.888,0.332,2754
1514,691,51.664,25.796,5166.450,2579.621,11.879,1.177,0.891,1.208,0.819,0.862,0.808,0.041,2752
1515,635,15.404,45.767,1540.358,4576.723,20.533,1.011,1.128,1.244,0.792,0.946,0.778,0.103,2750
1516,260,51.929,25.760,5192.921,2575.965,14.452,1.480,0.992,1.418,0.995,0.803,0.825,0.060,2750
1517,615,16.715,43.224,1671.456,4322.354,0.354,1.214,0.868,0.806,1.316,0.834,0.759,-0.040,2748
1518,488,51.667,25.817,5166.676,2581.651,80.487,1.236,0.941,1.124,0.715,0.864,0.778,0.338,2747
1519,435,51.744,25.827,5174.374,2582.737,64.151,1.314,1.080,1.232,0.912,0.902,0.851,0.251,2746
1520,587,22.775,22.079,2277.482,2207.895,27.831,1.369,0.886,0.714,1.395,0.786,0.677,0.146,2745
1521,963,22.760,22.120,2276.030,2212.034,88.854,1.366,1.007,0.715,1.260,0.849,0.724,0.398,2744
1522,796,22.995,22.394,2299.491,2239.383,107.618,1.669,0.795,0.835,1.067,0.645,0.878,0.561,2743
1523,988,22.657,22.116,2265.671,2211.580,28.896,1.296,0.960,0.729,1.377,0.851,0.692,0.151,2742
1524,272,53.134,26.831,5313.417,2683.132,-59.461,0.843,1.372,1.563,1.081,0.761,0.818,-0.429,2774
1525,346,22.700,22.179,2270.025,2217.897,21.183,1.448,0.862,0.837,1.366,0.746,0.760,0.107,2741
1526,304,5.861,15.372,586.077,1537.165,163.048,1.805,1.146,0.883,1.126,0.777,0.879,0.942,2737
1527,310,6.440,15.214,644.044,1521.394,103.624,1.302,1.346,0.776,1.344,0.984,0.732,0.528,2736
1528,557,22.802,22.169,2280.237,2216.885,87.740,1.426,1.016,0.768,1.285,0.832,0.748,0.389,2734
1529,847,16.042,44.405,1604.210,4440.527,-13.290,0.718,1.421,1.021,1.246,0.671,0.901,-0.129,2724
1530,243,39.598,23.837,3959.800,2383.691,-76.308,1.299,1.036,1.616,1.254,0.887,0.874,-0.535,2725
1531,436,33.323,25.079,3332.271,2507.901,-41.806,0.966,1.191,0.952,1.487,0.896,0.781,-0.282,2772
1532,738,39.227,24.398,3922.705,2439.832,59.770,0.985,1.180,0.906,1.022,0.910,0.940,0.236,2766
1533,268,29.782,29.508,2978.189,2950.754,-98.259,1.372,0.878,1.396,1.576,0.780,0.939,-0.722,2766
1534,1170,39.366,24.157,3936.584,2415.675,-7.406,0.824,1.157,0.779,1.292,0.832,0.753,-0.090,2765
1535,879,18.395,38.603,1839.458,3860.314,71.547,1.030,1.136,1.050,0.829,0.951,0.882,0.286,2765
1536,708,39.309,24.359,3930.929,2435.891,-58.436,0.803,1.243,1.020,1.446,0.785,0.827,-0.420,2764
1537,332,18.173,38.605,1817.341,3860.475,107.976,1.262,1.635,1.284,1.049,0.871,0.899,0.564,2764
1538,318,16.121,43.724,1612.099,4372.390,-11.529,0.865,1.421,1.404,0.998,0.757,0.831,-0.117,2792
1539,244,25.430,32.602,2543.025,3260.191,-42.733,1.140,1.492,1.475,1.446,0.866,0.990,-0.289,2792
1540,403,48.906,25.900,4890.633,2589.972,-98.551,1.235,0.765,1.634,1.092,0.765,0.801,-0.725,2763
1541,221,22.214,35.223,2221.442,3522.347,40.109,1.138,1.714,1.202,1.460,0.798,0.903,0.190,2762
1542,1267,22.141,35.333,2214.062,3533.268,-6.459,0.761,1.256,0.892,1.208,0.755,0.849,-0.083,2761
1543,377,19.290,36.826,1928.997,3682.554,-6.125,1.018,1.316,1.517,0.898,0.872,0.743,-0.081,2756
1544,967,19.401,36.639,1940.109,3663.899,2.163,1.043,1.098,1.187,0.983,0.974,0.906,-0.029,2755
1545,498,21.303,21.584,2130.325,2158.434,108.064,1.078,1.455,1.039,0.929,0.851,0.944,0.564,2755
1546,382,37.083,23.487,3708.341,2348.679,-41.131,0.650,1.500,1.212,1.215,0.605,0.999,-0.277,2801
1547,397,21.659,21.758,2165.881,2175.841,71.479,1.344,1.070,1.207,0.921,0.887,0.866,0.286,2795
1548,766,25.064,32.443,2506.362,3244.287,-25.417,0.761,1.277,1.017,1.204,0.747,0.916,-0.184,2793
1549,1167,25.085,32.522,2508.463,3252.249,1.379,0.750,1.286,1.040,1.030,0.736,0.995,-0.034,2791
1550,312,25.482,32.745,2548.180,3274.520,64.619,1.311,1.307,1.116,1.248,0.998,0.944,0.253,2790
1551,532,25.230,32.727,2522.969,3272.704,-19.270,0.813,1.199,1.210,0.961,0.808,0.885,-0.158,2787
1552,517,7.355,16.062,735.452,1606.163,178.638,1.264,1.607,0.634,1.204,0.881,0.690,1.032,2781
1553,237,53.224,26.905,5322.443,2690.475,-42.995,0.765,1.372,1.503,0.926,0.716,0.762,-0.291,2777
1554,414,16.084,46.743,1608.430,4674.300,170.224,1.197,1.721,1.102,0.831,0.821,0.859,0.984,2813
1555,344,4.459,11.123,445.925,1112.262,95.277,1.197,1.416,0.798,1.365,0.916,0.738,0.450,2821
1556,589,25.396,22.601,2539.575,2260.106,12.417,0.973,1.099,1.044,0.983,0.939,0.970,0.045,2820
1557,957,24.001,33.445,2400.058,3344.508,34.225,0.701,1.518,0.947,1.097,0.632,0.926,0.175,2829
1558,470,4.147,10.950,414.693,1094.961,146.645,1.043,1.733,1.272,0.663,0.752,0.685,0.841,2822
1559,684,25.513,26.907,2551.283,2690.660,-134.560,0.943,0.900,1.646,1.345,0.977,0.899,-1.147,2823
1560,928,39.775,24.422,3977.513,2442.187,30.082,1.335,0.844,0.956,1.066,0.775,0.946,0.156,2836
1561,433,20.699,36.845,2069.924,3684.540,-77.701,1.159,0.820,1.552,0.970,0.828,0.769,-0.543,2836
1562,443,55.888,28.399,5588.757,2839.935,108.027,1.475,0.974,0.877,1.008,0.795,0.931,0.564,2836
1563,476,20.716,36.935,2071.575,3693.493,-97.332,1.119,0.801,1.572,1.060,0.835,0.806,-0.712,2835
1564,277,55.962,28.672,5596.209,2867.175,16.644,1.525,0.859,1.159,1.149,0.720,0.996,0.076,2835
1565,698,23.949,22.315,2394.942,2231.546,18.852,1.313,0.718,0.840,1.100,0.707,0.866,0.091,2832
1566,1001,16.064,44.087,1606.393,4408.679,-50.976,0.633,1.296,0.836,1.452,0.657,0.731,-0.358,2839
1567,461,22.052,32.399,2205.247,3239.904,-46.539,0.818,1.279,1.089,1.327,0.780,0.902,-0.320,2852
1568,496,53.655,26.974,5365.514,2697.394,-56.080,0.963,0.912,1.455,0.822,0.973,0.722,-0.402,2858
1569,283,41.616,23.915,4161.617,2391.508,-49.889,1.199,1.168,1.559,1.156,0.987,0.851,-0.349,2867
1570,421,12.294,16.652,1229.353,1665.175,126.032,1.213,1.536,1.130,0.929,0.883,0.902,0.690,2868
1571,857,41.594,24.024,4159.385,2402.393,-95.627,1.023,0.875,0.910,1.682,0.922,0.702,-0.694,2865
1572,559,22.227,32.381,2222.678,3238.100,-104.854,0.857,1.170,1.330,1.490,0.846,0.943,-0.792,2862
1573,805,41.624,23.942,4162.439,2394.220,-115.121,1.027,0.922,1.703,1.156,0.946,0.808,-0.910,2866
1574,1059,22.730,34.726,2273.030,3472.588,-21.291,1.160,0.784,1.204,0.907,0.807,0.859,-0.166,2869
1575,719,12.255,16.930,1225.533,1693.049,107.609,0.956,1.536,1.222,0.710,0.767,0.735,0.561,2869
1576,480,17.599,42.046,1759.931,4204.638,90.808,1.228,1.095,0.594,1.316,0.943,0.622,0.413,2874
1577,660,11.920,16.799,1191.951,1679.896,153.370,1.881,0.949,1.136,0.809,0.671,0.832,0.884,2870
1578,340,17.303,41.892,1730.329,4189.164,101.217,1.167,1.436,1.418,0.679,0.897,0.648,0.505,2870
1579,752,12.209,16.771,1220.882,1677.131,101.410,0.994,1.506,1.189,0.804,0.795,0.807,0.507,2882
1580,461,21.770,32.473,2176.962,3247.340,-4.573,1.331,0.854,1.178,1.078,0.782,0.955,-0.071,2882
1581,692,12.224,16.818,1222.385,1681.754,104.577,1.082,1.417,1.207,0.756,0.866,0.770,0.537,2883
1582,241,21.790,32.781,2178.989,3278.139,-69.619,1.242,1.165,1.552,1.352,0.968,0.931,-0.498,2883
1583,799,41.695,24.057,4169.494,2405.736,-100.721,1.089,0.836,0.983,1.690,0.869,0.735,-0.748,2884
1584,578,12.396,16.903,1239.634,1690.342,145.373,1.374,1.394,1.226,0.710,0.993,0.733,0.832,2884
1585,493,41.869,23.825,4186.944,2382.543,-106.388,1.371,0.683,1.625,1.238,0.665,0.865,-0.810,2885
1586,655,18.980,39.136,1897.981,3913.552,16.277,1.449,0.861,0.893,1.344,0.745,0.798,0.073,2886
1587,1034,18.853,39.207,1885.324,3920.679,-2.055,1.264,0.857,0.870,1.305,0.808,0.800,-0.055,2887
1588,358,23.036,31.011,2303.624,3101.056,-118.103,0.647,1.337,1.085,1.845,0.652,0.740,-0.946,2887
1589,910,22.622,31.027,2262.166,3102.681,-91.714,1.080,0.845,0.998,1.583,0.878,0.773,-0.655,2888
1590,707,18.542,39.224,1854.226,3922.404,-35.548,1.024,0.988,0.902,1.343,0.982,0.803,-0.234,2888
1591,997,22.727,31.039,2272.677,3103.934,-96.891,1.100,0.711,0.936,1.582,0.785,0.744,-0.708,2890
